sample_name,label,SPL_peak_raw,SPL_peak_unit,SPL_peak_adaptive,SPL_peak_fixed,K_raw,K_unit,K_adaptive,K_fixed,E_low_raw,E_low_unit,E_low_adaptive,E_low_fixed,E_mid_raw,E_mid_unit,E_mid_adaptive,E_mid_fixed,E_high_raw,E_high_unit,E_high_adaptive,E_high_fixed,dB(A)_raw,dB(A)_unit,dB(A)_adaptive,dB(A)_fixed,N_raw,N_unit,N_adaptive,N_fixed,S_raw,S_unit,S_adaptive,S_fixed,R_raw,R_unit,R_adaptive,R_fixed,F_raw,F_unit,F_adaptive,F_fixed,TI_raw,TI_unit,TI_adaptive,TI_fixed,A_raw,A_unit,A_adaptive,A_fixed,TNR_raw,TNR_unit,TNR_adaptive,TNR_fixed,SI_raw,SI_unit,SI_adaptive,SI_fixed,SK_raw,SK_unit,SK_adaptive,SK_fixed,AMD_raw,AMD_unit,AMD_adaptive,AMD_fixed,ESP_raw,ESP_unit,ESP_adaptive,ESP_fixed,NSI_raw,NSI_unit,NSI_adaptive,NSI_fixed
andaotuo_ng1.wav,NG,-0.40727442502975464,dB,90.2363798394546,73.98181393742561,40.74238586425781,-,29.893580543070502,40.74238586425781,12.44093132019043,%,86.80701951642388,12.44093132019043,57.96625518798828,%,56.19207813225802,57.96625518798828,29.00642967224121,%,35.0442864521307,29.006429672241214,60.980628967285156,dB,41.85936500527289,34.96771494547526,285.0050278627029,sone,62.60523759296704,57.00100557254058,0.9852771759033203,acum,25.405130836187684,19.705543518066406,0.4589804708957672,asper,33.360908138521275,22.94902354478836,0.07908725706332746,vacil,11.62109310138179,1.581745141266549,4.448474884033203,-,86.86224388270273,88.96949768066406,9.701029638781343,-,41.04140488676007,97.01029638781343,38.81127166748047,dB,49.241367133340916,100.0,0.48414046148196843,-,67.60308623121215,9.68280922963937,660.9752680311891,-,91.66666666666666,100.0,100.0,%,50.0,100.0,27.536388397216797,dB,48.002451692476896,91.78796132405598,7.179523468017578,-,52.884972318728515,71.79523468017578
andaotuo_ok1.wav,OK,-5.250482559204102,dB,73.22775771630057,61.873793601989746,28.695528030395508,-,23.010413089382,28.695528030395508,5.9913201332092285,%,45.771043135455024,5.9913201332092285,61.672420501708984,%,59.430791646988055,61.67242050170898,32.26862335205078,%,38.123092887951664,32.26862335205078,58.08111572265625,dB,33.6465086527324,30.135192871093754,251.3273999920166,sone,51.19598264477149,50.265479998403315,1.2324049472808838,acum,29.747291970226858,24.648098945617676,0.33514198660850525,asper,24.638495081699098,16.757099330425262,0.05847562951908482,vacil,10.157740628722498,1.1695125903816963,4.7054972648620605,-,91.66666666666667,94.10994529724121,8.678008056915676,-,35.82407685314612,86.78008056915675,35.16161346435547,dB,37.719911587144765,100.0,0.4880645557674417,-,69.13382644005475,9.761291115348833,344.04200170565304,-,51.23777679428543,100.0,100.0,%,50.0,100.0,36.314109802246094,dB,65.33056716297241,100.0,7.189998149871826,-,53.037129404298945,71.89998149871826
brose_ng1.wav,NG,0.0,dB,91.66666666666666,75.0,11.622986793518066,-,13.255739977600605,11.622986793518066,0.8021429181098938,%,12.754641454480534,0.8021429181098938,27.34128761291504,%,29.429781262671113,27.34128761291504,61.609886169433594,%,65.81490939669621,61.609886169433594,68.56169891357422,dB,63.332706636931,47.602831522623696,314.379898469919,sone,72.55681105636118,62.875979693983794,2.917269468307495,acum,59.351221947590304,58.3453893661499,0.5057936310768127,asper,36.6581361524486,25.289681553840637,0.03277846881164144,vacil,8.333333333333334,0.6555693762328287,1.4468375444412231,-,30.75376501394933,28.936750888824463,15.270709545342047,-,69.44632578956386,100.0,30.604206085205078,dB,23.332820083664274,100.0,0.48333044538097225,-,67.28710905905425,9.666608907619445,201.58206932261209,-,33.065191176135116,100.0,100.0,%,50.0,100.0,16.536285400390625,dB,26.287128760589944,55.120951334635414,9.269742012023926,-,83.24785744370999,92.69742012023926
brose_ng2.wav,NG,-5.377058029174805,dB,72.78324360929754,61.55735492706299,3.8061187267303467,-,8.789445728169754,3.8061187267303467,1.2422460317611694,%,15.554819706068715,1.2422460317611694,32.84980010986328,%,34.24351523289575,32.84980010986328,61.046897888183594,%,65.28357002395072,61.046897888183594,71.81660461425781,dB,72.55221029338036,53.02767435709635,336.2002365405461,sone,79.94907161163314,67.24004730810921,2.792123317718506,acum,57.15234017832162,55.84246635437011,0.3427223563194275,asper,25.1724092047815,17.136117815971375,0.1325537519089746,vacil,15.417024658405175,2.6510750381794916,2.528881549835205,-,50.980007008914065,50.5776309967041,15.172681671801001,-,68.94639149514892,100.0,34.113704681396484,dB,34.41181154397013,100.0,0.47639644293105166,-,64.58224123831928,9.527928858621033,,-,,,100.0,%,50.0,100.0,24.061737060546875,dB,41.143136295769224,80.20579020182291,5.6870269775390625,-,31.204703707687276,56.870269775390625
brose_ng3.wav,NG,-8.042835235595703,dB,63.42143302581332,54.89291191101074,3.6025643348693848,-,8.673141627595545,3.6025643348693848,1.1019946336746216,%,14.662463113954319,1.1019946336746216,35.85220718383789,%,36.867234237335026,35.85220718383789,54.83241271972656,%,59.41843790430404,54.83241271972656,70.34765625,dB,68.39142160676313,50.57942708333333,307.09897673444385,sone,70.09019159441861,61.419795346888776,1.7903000116348267,acum,39.54979312906629,35.80600023269653,0.2619183659553528,asper,19.48107839876133,13.09591829776764,0.053472089644803426,vacil,9.802507038780968,1.0694417928960687,2.1150450706481934,-,43.24431721011243,42.30090141296387,11.525225886966794,-,50.344659474131106,100.0,35.30458450317383,dB,38.171250966467674,100.0,0.47736641472876185,-,64.96061513154984,9.547328294575237,120.23519736842105,-,22.68835770002834,100.0,100.0,%,50.0,100.0,21.335735321044922,dB,35.76173140317411,71.1191177368164,6.1791558265686035,-,38.35345461348151,61.79155826568603
brose_ok1.wav,OK,-11.799661636352539,dB,50.22802096039215,45.50084590911865,3.327118396759033,-,8.515761127003714,3.327118396759033,2.0194714069366455,%,20.499955345061995,2.0194714069366455,32.0438117980957,%,33.53918474111434,32.0438117980957,59.73412322998047,%,64.04459421099581,59.734123229980476,68.48898315429688,dB,63.126739622771986,47.48163859049479,290.2352565764143,sone,64.37712642852388,58.04705131528286,2.2023186683654785,acum,46.789171317046375,44.04637336730957,0.23483525216579437,asper,17.57351221126283,11.741762608289719,0.10184225279618679,vacil,13.236617115657534,2.036845055923736,2.4571876525878906,-,49.63985992796579,49.14375305175781,11.542953508700867,-,50.43506892343501,100.0,32.9425163269043,dB,30.714535302882577,100.0,0.48723986476297054,-,68.81212477119118,9.74479729525941,,-,,,100.0,%,50.0,100.0,25.879150390625,dB,44.73089518991316,86.26383463541667,5.860237121582031,-,33.72078496681621,58.60237121582031
brose_ok2.wav,OK,-0.8506532907485962,dB,88.67929962000414,72.87336677312851,4.435369491577148,-,9.148978350247148,4.435369491577148,2.6414856910705566,%,24.457552591213453,2.6414856910705566,36.778594970703125,%,37.676778440367144,36.778594970703125,49.925025939941406,%,54.78692442483851,49.925025939941406,67.7921142578125,dB,61.15286205763878,46.3201904296875,312.1994839252888,sone,71.81813357206921,62.439896785057755,2.0197203159332275,acum,43.58082502455482,40.39440631866455,0.25271713733673096,asper,18.83300104943182,12.635856866836548,0.0544097841848228,vacil,9.86908002632361,1.088195683696456,1.7249189615249634,-,35.951836449306995,34.49837923049927,12.144287673633455,-,53.501824944897514,100.0,32.841609954833984,dB,30.395988136153218,100.0,0.48648132698092694,-,68.51622864881745,9.729626539618538,,-,,,100.0,%,50.0,100.0,23.374492645263672,dB,39.78644587065989,77.91497548421223,8.660591125488281,-,74.39922367539037,86.60591125488281
brose_ok3.wav,OK,-10.72531795501709,dB,54.00095518085137,48.186705112457275,10.779319763183594,-,12.77369714742582,10.779319763183594,0.39685583114624023,%,10.175981928194174,0.39685583114624023,33.37848663330078,%,34.70551949972477,33.37848663330078,13.78794002532959,%,20.681318318637945,13.78794002532959,60.10773468017578,dB,39.386896426533895,33.512891133626304,215.98986580829322,sone,39.22438719004507,43.197973161658645,0.5620245933532715,acum,17.968366835177548,11.24049186706543,0.2509585916996002,asper,18.70914002582024,12.547929584980011,0.5981184050869359,vacil,48.47046427390204,11.962368101738718,0.24741089344024658,-,8.333333333333334,4.948217868804932,6.038495835219187,-,22.36277617930362,60.38495835219187,38.550132751464844,dB,48.416988453255286,100.0,0.5035835102365542,-,75.18757690497337,10.071670204731085,,-,,,100.0,%,50.0,100.0,49.654911041259766,dB,91.66666666666667,100.0,4.802923202514648,-,18.362055537426276,48.029232025146484
brose_ok4.wav,OK,-16.473228454589844,dB,33.81515374995562,33.81692886352539,3.431929111480713,-,8.575646427413107,3.431929111480713,1.5784810781478882,%,17.69413214242622,1.5784810781478882,28.998130798339844,%,30.877649871380473,28.998130798339844,26.3603515625,%,32.54696007804741,26.3603515625,61.45618438720703,dB,43.20637328630949,35.76030731201172,230.7860488070106,sone,44.23701529855452,46.157209761402115,1.0290625095367432,acum,26.174461506246278,20.581250190734863,0.19549790024757385,asper,14.80283366196482,9.774895012378693,0.03776126806263308,vacil,8.687094412561656,0.7552253612526616,0.39698439836502075,-,11.129254655906523,7.939687967300416,7.1888872072341545,-,28.2296799291694,71.88887207234154,31.067283630371094,dB,24.7946904984071,100.0,0.5082867201183843,-,77.02224038474623,10.165734402367685,,-,,,100.0,%,50.0,100.0,42.319419860839844,dB,77.1856604531078,100.0,5.164999485015869,-,23.621639806061257,51.649994850158684
hlmrl_ng1.wav,NG,-17.40251922607422,dB,30.551623639989256,31.493701934814457,7.874157428741455,-,11.113785566838772,7.874157428741454,0.10724734514951706,%,8.333333333333332,0.10724734514951707,95.13310241699219,%,88.67113943447417,95.13310241699219,4.644082069396973,%,12.051490820289814,4.644082069396973,59.68814468383789,dB,38.19840991995574,32.81357447306315,172.8142528774611,sone,24.597419478306588,34.56285057549221,0.07912658900022507,acum,9.483602316327344,1.5825317800045016,0.9861951470375061,asper,70.49463277503953,49.309757351875305,0.12427587279420318,vacil,14.829324592266586,2.4855174558840636,2.012141466140747,-,41.320778798969975,40.24282932281494,5.060072142318892,-,17.372893803204242,50.60072142318892,50.57237243652344,dB,86.36950137035976,100.0,0.4926563204842832,-,70.9250165517792,9.853126409685665,10.035923413133528,-,8.631031492502615,20.071846826267056,100.0,%,50.0,100.0,35.412452697753906,dB,63.55060426594069,100.0,5.000081539154053,-,21.226012487755806,50.000815391540534
